1.0296    0.0393
1.1918    0.2276
1.2249    0.0094
1.2754    0.3223
1.3383    0.0087
1.3702    0.4447
1.4588    0.0106
1.4659    0.5667
1.5456    0.7024
1.5722    0.0094
1.6147    0.7828
1.6750    0.8868
1.6856    0.0094
1.7529    1.0073
1.7990    0.0119
1.8380    1.1397
1.9124    0.0100
1.9195    1.2809
2.0010    1.4046
2.0294    0.0076
2.0825    1.5386
2.1463    0.0094
2.1676    1.6760
2.2455    1.7979
2.2597    0.0074
2.3235    1.9034
2.3731    0.0125
2.4086    2.0335
2.4830    0.0345
2.4901    2.1548
2.5716    2.2683
2.5999    0.0666
2.6460    2.3624
2.7133    0.0991
2.7346    2.4769
2.8267    0.1233
2.8267    2.5857
2.9118    2.6905
2.9402    0.1589
2.9969    2.7887
3.0536    0.1869
3.0890    2.8835
3.1705    0.2134
3.1741    2.9719
3.2627    3.0596
3.2804    0.2467
3.3619    3.1648
3.3973    0.2786
3.4576    3.2558
3.5072    0.3218
3.5533    3.3646
3.6206    0.3612
3.6525    3.4612
3.7376    0.4096
3.7411    3.5396
3.8403    3.6280
3.8510    0.4669
3.9396    3.7196
3.9644    0.5293
4.0246    3.7957
4.0778    0.5928
4.1132    3.8735
4.1735    0.6648
4.2231    3.9665
4.2833    0.7425
4.3294    4.0460
4.3755    0.8205
4.4393    4.1234
4.4676    0.9078
4.5456    4.2128
4.5598    1.0202
4.6448    4.2980
4.6484    1.1418
4.7370    1.2781
4.7547    4.3814
4.8114    1.4044
4.8610    4.4603
4.8858    1.5549
4.9496    1.7086
4.9673    4.5277
5.0134    1.8737
5.0630    2.0302
5.0807    4.6060
5.1162    2.2055
5.1587    2.3750
5.1835    4.6753
5.2012    2.5617
5.2367    2.7369
5.2827    4.7533
5.2721    2.9225
5.3075    3.1011
5.3323    3.2701
5.3572    3.4528
5.3855    4.8290
5.3820    3.6366
5.4032    3.8241
5.4245    4.0188
5.4387    4.1878
5.4564    4.3801
5.4847    4.8911
5.4741    4.5729
5.4847    4.7466
1.1017    0.1233
1.1221    0.0082
1.9656    0.0507
2.0825    0.0972
2.3944    0.2206
2.4724    0.2513
2.5893    0.3008
2.6992    0.3674
2.7736    0.4079
2.8870    0.4821
2.9969    0.5720
3.0677    0.6285
3.1670    0.7303
3.2662    0.8453
3.3300    0.9250
3.4044    1.0376
3.4859    1.2011
3.5355    1.2972
3.5958    1.4385
3.6525    1.6115
3.6986    1.7313
3.7411    1.8905
3.7844    2.0652
3.8120    2.1894
3.8439    2.3767
3.8781    2.5800
3.9006    2.7060
3.9207    2.8934
3.9426    3.0840
3.9573    3.2056
3.9750    3.4047
3.9821    3.5650
2.2818    0.1808
2.1801    0.1397
1.4588    0.0797
1.8911    0.4279
2.4547    1.8000
2.4191    1.5863
2.3225    1.2164
2.3784    1.3973
2.1953    0.8630
1.7986    0.3205
1.5748    0.1644
1.6968    0.2548
1.9969    0.5589
2.1139    0.7233
2.2767    1.0438
2.4852    1.9808
