0.00000000e+00	6.34421476e-06	9.52755177e+00	0.00000000e+00	1.00000000e-02	
1.14705229e-03	3.41711469e-03	9.52738373e+00	1.57525170e-04	9.99999420e-03	
2.29410459e-03	6.83425206e-03	9.52687962e+00	6.30067341e-04	9.99997679e-03	
3.44115688e-03	1.02523683e-02	9.52603922e+00	1.41752646e-03	9.99994778e-03	
4.58820918e-03	1.36700218e-02	9.52486290e+00	2.51973585e-03	9.99990716e-03	
5.73526147e-03	1.70855247e-02	9.52335176e+00	3.93646265e-03	9.99985498e-03	
6.88231377e-03	2.05016749e-02	9.52150498e+00	5.66740697e-03	9.99979120e-03	
8.02936606e-03	2.39208025e-02	9.51932099e+00	7.71220120e-03	9.99971576e-03	
9.17641836e-03	2.73384442e-02	9.51680267e+00	1.00704143e-02	9.99962875e-03	
1.03234707e-02	3.07555679e-02	9.51394990e+00	1.27415475e-02	9.99953017e-03	
1.14705229e-02	3.41741016e-02	9.51076129e+00	1.57250336e-02	9.99941996e-03	
1.26175752e-02	3.75938422e-02	9.50723703e+00	1.90202400e-02	9.99929811e-03	
1.37646275e-02	4.10129518e-02	9.50337934e+00	2.26264728e-02	9.99916469e-03	
1.49116798e-02	4.44313029e-02	9.49918904e+00	2.65429712e-02	9.99901973e-03	
1.60587321e-02	4.78473323e-02	9.49466899e+00	3.07689163e-02	9.99886329e-03	
1.72057844e-02	5.12662848e-02	9.48981270e+00	3.53033940e-02	9.99869516e-03	
1.83528367e-02	5.46866751e-02	9.48462223e+00	4.01454475e-02	9.99851539e-03	
1.94998890e-02	5.81053423e-02	9.47910304e+00	4.52940742e-02	9.99832415e-03	
2.06469413e-02	6.15245391e-02	9.47325232e+00	5.07481734e-02	9.99812132e-03	
2.17939936e-02	6.49461458e-02	9.46706712e+00	5.65065716e-02	9.99790680e-03	
2.29410459e-02	6.83661575e-02	9.46055531e+00	6.25680933e-02	9.99768083e-03	
2.40880982e-02	7.17871348e-02	9.45371287e+00	6.89314314e-02	9.99744325e-03	
2.52351505e-02	7.52069234e-02	9.44654496e+00	7.55952761e-02	9.99719424e-03	
2.63822028e-02	7.86272768e-02	9.43904886e+00	8.25581982e-02	9.99693366e-03	
2.75292551e-02	8.20524636e-02	9.43121532e+00	8.98186335e-02	9.99666119e-03	
2.86763074e-02	8.54734392e-02	9.42306586e+00	9.73752407e-02	9.99637754e-03	
